Marital_Pop,Income,Age_Pop,County,State,Education_Pop
41.9,82582,12.2,Cook, Illinois,78.1
51.8,82589,20.0,Kane, Illinois,74.5
54.0,105698,15.7,Lake, Illinois,82.9
51.8,75920,11.7,Ocean, New Jersey,60.099999999999994
53.3,96190,11.9,Middlesex, New Jersey,70.5
45.0,90189,13.9,Camden, New Jersey,65.10000000000001
48.3,100081,15.9,Union, New Jersey,71.5
44.2,83497,10.2,Hudson, New Jersey,81.19999999999999
46.4,77379,13.1,Dane, Wisconsin,86.69999999999999
48.8,76878,11.8,Kent, Michigan,74.5
29.9,119292,9.5,District, District of Columbia,88.19999999999999
42.3,86470,12.8,New, Connecticut,71.5
45.1,89080,14.7,Hartford, Connecticut,74.4
44.1,59653,11.6,Pima, Arizona,74.0
30.9,61265,9.4,Philadelphia, Pennsylvania,70.0
48.2,53599,12.7,Hidalgo, Texas,57.5
42.9,48268,10.7,El, Texas,69.5
